ORIGIN_AIRPORT,source_airport_avg_delay,destination_airport_avg_delay,airport_avg_taxi_out_time,airport_avg_taxi_in_time,total_airline_delay,total_security_delay,total_air_system_delay,total_late_aircraft_delay,total_weather_delay
ABI,2.535625517812759,3.741908713692946,15.11161825726141,10.647887323943662,9189.0,46.0,4404.0,7518.0,5059.0
ABQ,4.389880520485658,5.254556001353507,14.74829603132402,7.661007110724133,62506.0,282.0,38042.0,99690.0,9344.0
ABR,9.067215363511659,-3.2043895747599453,18.175582990397807,7.743484224965706,4877.0,26.0,1575.0,2979.0,376.0
ABY,7.947312961011591,8.605263157894736,17.98421052631579,7.863013698630137,5723.0,0.0,1328.0,4744.0,0.0
ACK,10.326848249027238,5.003875968992248,21.410852713178294,5.9863813229571985,2960.0,110.0,2405.0,3631.0,387.0
ACT,3.2538829151732376,9.60226595110316,17.054859868813356,11.22162485065711,3888.0,15.0,1852.0,13609.0,106.0
ACV,7.968092820884699,9.630513376717282,21.79175704989154,5.9804205946337925,2521.0,0.0,5380.0,13199.0,13.0
ACY,7.889981397820888,11.343783209351754,13.022848034006376,8.235184693064044,11687.0,24.0,18730.0,18374.0,1636.0
ADK,11.704081632653061,-4.346938775510204,11.653061224489797,3.938775510204082,119.0,934.0,239.0,188.0,32.0
ADQ,1.83585313174946,-0.531317494600432,11.39524838012959,3.801295896328294,1227.0,340.0,321.0,1082.0,40.0
AEX,8.18231046931408,6.128343853321311,17.670273519687406,10.247593261131167,17495.0,106.0,9216.0,17716.0,2491.0
AGS,8.022665103556077,5.877782116360796,17.258883248730964,8.849159828057836,11023.0,0.0,6909.0,11952.0,36.0
AKN,4.349206349206349,2.380952380952381,11.984126984126984,3.5873015873015874,188.0,0.0,121.0,101.0,0.0
ALB,-2.204384107609914,5.912946150976246,15.975251834348962,7.979324947066883,23931.0,93.0,13818.0,24690.0,3832.0
ALO,-0.4449685534591195,4.7921875,18.584375,17.290880503144653,1495.0,32.0,2079.0,2616.0,481.0
AMA,6.005495763682162,6.232829670329671,14.975503663003662,8.34188229906114,14091.0,77.0,12482.0,20071.0,2277.0
ANC,-0.46905882352941175,1.620888496616652,14.188467196234187,6.1474705882352945,46169.0,21.0,16459.0,42426.0,3124.0
APN,2.0100840336134453,0.9916387959866221,19.770903010033443,7.694117647058824,882.0,15.0,494.0,4923.0,228.0
ASE,15.174498653097874,15.59344951923077,19.376201923076923,9.66836276563903,15984.0,437.0,14189.0,34769.0,5173.0
ATL,2.4525774818046773,1.860416861139634,16.126082492098842,5.858389850623668,1278127.0,1527.0,669096.0,1081051.0,315162.0
ATW,5.540172642762284,3.2902155887230515,18.883250414593697,9.986387782204515,7425.0,0.0,11762.0,12619.0,1815.0
AUS,5.004726422146664,6.7024626272838885,15.592017524854963,8.071764450553426,124255.0,299.0,91642.0,217085.0,20405.0
AVL,6.355057705363205,6.612293144208038,17.67274569402229,8.287508486082825,9934.0,0.0,10087.0,14869.0,2209.0
AVP,6.551460361613352,8.99233449477352,20.165853658536584,8.997913769123784,7270.0,0.0,4717.0,5655.0,843.0
AZO,0.5436422413793104,0.5965572888649812,18.519096288327056,11.929418103448276,4839.0,39.0,5253.0,7883.0,1158.0
BDL,0.20320295350229495,6.015758240662245,16.07395402184212,7.778487327878667,55927.0,106.0,42514.0,75483.0,10011.0
BET,3.789363920750782,2.392708333333333,11.167708333333334,4.157455683003128,1664.0,157.0,804.0,4665.0,289.0
BFL,3.2906724511930587,5.030379746835443,20.122242314647377,7.596167751265365,7514.0,2.0,8219.0,13419.0,633.0
BGM,6.337539432176656,3.3417721518987342,18.43354430379747,6.255520504731861,3051.0,3.0,534.0,1399.0,0.0
BGR,3.0438144329896906,2.4211886304909562,18.671834625322997,6.896907216494846,3169.0,0.0,554.0,413.0,19.0
BHM,4.220514733308467,5.211267605633803,16.22080631939787,8.621857515852295,47479.0,195.0,32909.0,62140.0,5701.0
BIL,-2.681290322580645,1.2146529562982005,17.233611825192803,6.9793548387096775,5264.0,0.0,3971.0,8571.0,410.0
BIS,4.248183041722745,4.0670421024403325,18.353982300884955,7.776312247644683,14213.0,123.0,10518.0,15973.0,1539.0
BJI,0.8213296398891967,-1.702627939142462,18.621023513139697,5.71191135734072,3375.0,0.0,1009.0,2096.0,183.0
BLI,-1.402542372881356,-6.736248236953456,17.059238363892806,7.4759887005649714,2123.0,0.0,1031.0,989.0,157.0
BMI,4.962820063135742,6.213137665967855,18.048218029350103,11.618379515959312,12401.0,0.0,9576.0,13781.0,1528.0
BNA,4.06853097205514,3.8848351128797134,15.145010046885465,7.943873626915416,154898.0,285.0,105072.0,244088.0,26660.0
BOI,5.607134382662343,5.4888151134297685,17.354043158643584,7.3353634422209915,49678.0,123.0,29876.0,56716.0,2885.0
BOS,3.789654421057219,5.777048580243686,17.27893984556119,7.743983963045278,369650.0,2141.0,438649.0,440294.0,72212.0
BPT,14.417759838546923,13.463,17.78,13.937436932391524,6200.0,0.0,4007.0,9061.0,227.0
BQK,4.554736842105263,6.05672268907563,18.389705882352942,7.75578947368421,5190.0,0.0,1783.0,4028.0,0.0
BQN,4.59704641350211,11.862579281183933,16.400986610288935,7.169479606188467,2066.0,0.0,1844.0,14885.0,61.0
BRD,-0.689873417721519,-3.8041074249605056,17.64139020537125,5.5015822784810124,1426.0,35.0,1942.0,1071.0,423.0
BRO,1.6294333469221363,3.939812932086214,16.069947132980886,9.997554015491236,7092.0,0.0,4691.0,11734.0,1420.0
BRW,1.796875,3.591517857142857,8.1328125,3.677455357142857,470.0,7.0,515.0,5764.0,179.0
BSM,-0.08355437665782493,1.4524826481580353,15.311532301121195,8.315649867374006,9004.0,0.0,5340.0,12422.0,3131.0
BTM,-6.323863636363637,-4.118065433854907,19.68705547652916,5.846590909090909,1501.0,0.0,363.0,2086.0,332.0
BTR,10.616414970453054,8.576,17.13311475409836,10.214182534471439,52415.0,0.0,22071.0,36729.0,2553.0
BTV,5.721617418351477,8.438715652979315,21.223217042297005,8.655054432348367,8459.0,0.0,20236.0,16464.0,754.0
BUF,0.18926129731532432,4.948726485766605,17.3960934465346,8.135734533933633,44943.0,43.0,45752.0,72005.0,5972.0
BUR,2.977066034005536,4.147407407407408,12.68237037037037,6.1673092131277185,28480.0,109.0,30203.0,90312.0,6267.0
