DATE,average_arr_delay_daily,average_dep_delay_daily,num_flight_daily
2015-04-14,0.2698216819892639,4.955019436046153,16207
2015-04-15,0.2400894367899444,5.194887599709935,16548
2015-04-16,8.019491883410778,9.86059984309939,16571
2015-04-17,5.827455236028215,10.253572074516187,16587
2015-04-18,-0.9949775112443778,5.1197151424287854,13340
2015-04-19,2.4419072781027866,7.03258476442096,15897
2015-04-20,13.391664093856129,16.384316146958938,16195
2015-04-21,-1.0064910979228487,4.496476261127596,16176
2015-04-22,-1.1983580828202343,3.8218036943136546,16566
2015-04-23,0.8001310225716157,5.391102376273003,16791
2015-04-24,10.97063944761333,13.62930051035725,16655
2015-04-25,4.470751462426879,8.650817459127044,13334
2015-04-26,-0.34881080058040503,4.521355119550817,15851
2015-04-27,2.638279932546374,7.304324259214647,16604
